album_id,name,release_date,total_tracke,url
15yvc643iYfQtb6zh9NEJo,a thousand years,2011-10-18,1,https://open.spotify.com/album/15yvc643iYfQtb6zh9NEJo
3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,16,https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),2022-04-22,1,https://open.spotify.com/album/7ARtQpvnPN2ucbmVHngLOs
4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),2014-11-17,16,https://open.spotify.com/album/4gCNyS7pidfK3rKWhB3JOY
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
2sBB17RXTamvj7Ncps15AK,lovely (with Khalid),2018-04-19,1,https://open.spotify.com/album/2sBB17RXTamvj7Ncps15AK
4xkM0BwLM9H2IUcbYzpcBI,I Love You.,2013-04-22,11,https://open.spotify.com/album/4xkM0BwLM9H2IUcbYzpcBI
2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,2023-09-15,11,https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA
6EWWmTEOXI58PL13vNk67S,Fairytale,2009-01-12,1,https://open.spotify.com/album/6EWWmTEOXI58PL13vNk67S
2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,18,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe
5VoeRuTrGhTbKelUfwymwu,Born To Die - The Paradise Edition,2012-01-01,23,https://open.spotify.com/album/5VoeRuTrGhTbKelUfwymwu
6LY3AerY6KNGOPsNPL63Kk,Born This Way (International Special Edition Version),2011-05-23,23,https://open.spotify.com/album/6LY3AerY6KNGOPsNPL63Kk
25bKp06DTIMODKnzXQf4gR,All The Little Lights (Anniversary Edition),2023-11-10,22,https://open.spotify.com/album/25bKp06DTIMODKnzXQf4gR
20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,2000-03-21,12,https://open.spotify.com/album/20RMokVwJ2wjQ0s8FOdOFC
4JDXBZdRPId4devseaAOKH,DECIDE,2022-09-16,13,https://open.spotify.com/album/4JDXBZdRPId4devseaAOKH
